"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
163,5,"WEIGHT HEIGHT ADIPOSITY ABDOMEN WRIST",0.728900377151759,0.723252468342421,0.709091720178017,5.44216950851137,1390.83122242895,693.040619308785,1415.36854318048,3980.21386397887,16.5732174481565,0.284654603990653,0.0676929582959172
37,3,"WEIGHT ABDOMEN WRIST",0.723592049552218,0.720165504711956,0.710795732691394,6.13062116898325,1391.60152907955,693.544911790324,1409.12818675921,4024.47175559285,16.6250817474282,0.285545403355147,0.0678800018235243
164,5,"WEIGHT HEIGHT ADIPOSITY NECK ABDOMEN",0.725795050400457,0.7200824472838,0.707310850593319,8.18487407797065,1393.63302779516,695.703808533292,1418.17034854668,4025.8054603738,16.7630563529702,0.28791519707952,0.0684683513121913
93,4,"WEIGHT NECK ABDOMEN WRIST",0.72460396107933,0.720033072466539,0.709688742554473,7.23687484482093,1392.69928654593,694.694868237983,1413.73127576153,4026.4456697178,16.6994813996652,0.286823260452648,0.0681950933651666
165,5,"WEIGHT ADIPOSITY NECK ABDOMEN WRIST",0.725670692810461,0.719955498910679,0.706316788515703,8.2947099044859,1393.74456856872,695.809852424393,1418.28188932024,4027.63124603368,16.7706587441453,0.288045772549016,0.0684994031191431
94,4,"WEIGHT ADIPOSITY ABDOMEN WRIST",0.724296813491377,0.719720826993309,0.706895891760352,7.5081555055832,1392.97349602028,694.957859299513,1414.00548523588,4030.93634097191,16.7181062333849,0.287143152753794,0.0682711509530658
166,5,"AGE WEIGHT NECK ABDOMEN WRIST",0.725311708640831,0.719589035904181,0.707786293501371,8.61177396932112,1394.06627089137,696.115710025296,1418.60359164289,4032.90175786213,16.7926046348892,0.288422705927128,0.0685890406485811
95,4,"AGE WEIGHT ABDOMEN WRIST",0.724149926924345,0.719571502474957,0.708740067946032,7.6378895048868,1393.10452270072,695.083528060665,1414.13651191632,4033.08390556319,16.7270131497793,0.287296134199126,0.0683075238188198
167,5,"AGE WEIGHT ADIPOSITY ABDOMEN WRIST",0.724974952394916,0.719245263903144,0.704398340182871,8.90920575941394,1394.36767178884,696.40227851296,1418.90499254036,4037.8459251195,16.8131916590685,0.288776299985338,0.0686731279160995
168,5,"WEIGHT HEIGHT NECK ABDOMEN WRIST",0.724929188746068,0.719198546844945,0.704792274235071,8.94962539279322,1394.40860231926,696.441195713926,1418.94592307078,4038.51781506053,16.8159893424278,0.288824351816628,0.0686845549949732
96,4,"WEIGHT HEIGHT ABDOMEN WRIST",0.723727049555252,0.719141606394343,0.705557905705223,8.01138568916014,1393.48135122881,695.44495684125,1414.51334044441,4039.26661159731,16.7526556128561,0.28773655834702,0.0684122390564839
97,4,"WEIGHT CHEST ABDOMEN WRIST",0.723600685439833,0.719013144949208,0.707356480904478,8.12299373061001,1393.59384311561,695.552854273895,1414.6258323312,4041.11412635217,16.760318087608,0.28786816578673,0.0684435300390368
169,5,"WEIGHT NECK CHEST ABDOMEN WRIST",0.724659320794655,0.718923056644544,0.706287104403439,9.18797971836639,1394.64983100913,696.670563118244,1419.18715176066,4042.47994584616,16.8324872637236,0.289107713165612,0.0687519404077174
